"county","Rt","Rt_change"
"Siskiyou",1.32,NA
"Humboldt",1.29,NA
"Butte",1.13,NA
"El Dorado",1.1,NA
"Shasta",1.08,NA
"Stanislaus",1.06,NA
"Imperial",1.04,NA
"Orange",1.03,NA
"Yolo",1,NA
"San Diego",1,NA
"Solano",1,NA
"San Bernardino",0.99,NA
"Riverside",0.99,NA
"Nevada",0.98,NA
"San Luis Obispo",0.97,NA
"Los Angeles",0.97,NA
"Alameda",0.96,NA
"Sacramento",0.96,NA
"Tulare",0.94,NA
"San Mateo",0.93,NA
"Contra Costa",0.93,NA
"San Joaquin",0.92,NA
"Tehama",0.91,NA
"Fresno",0.91,NA
"Placer",0.91,NA
"San Francisco",0.91,NA
"Santa Cruz",0.89,NA
"Santa Clara",0.89,NA
"Madera",0.87,NA
"Santa Barbara",0.86,NA
"Merced",0.85,NA
"Monterey",0.83,NA
"Napa",0.83,NA
"Ventura",0.8,NA
"Kings",0.78,NA
"Sonoma",0.78,NA
"Marin",0.77,NA
"Kern",0.74,NA
"Yuba",0,NA
