"county","Rt","Rt_change"
"Mendocino",1.12,NA
"Amador",1.01,NA
"Sonoma",1,NA
"Tuolumne",0.98,NA
"Shasta",0.97,NA
"Tehama",0.95,NA
"Kings",0.95,NA
"Lake",0.93,NA
"San Luis Obispo",0.91,NA
"Imperial",0.9,NA
"Merced",0.9,NA
"San Bernardino",0.9,NA
"Kern",0.9,NA
"Tulare",0.9,NA
"Yolo",0.89,NA
"Yuba",0.89,NA
"San Diego",0.89,NA
"Los Angeles",0.89,NA
"Butte",0.88,NA
"Santa Cruz",0.86,NA
"Fresno",0.85,NA
"Ventura",0.85,NA
"Monterey",0.84,NA
"Orange",0.84,NA
"San Joaquin",0.84,NA
"Placer",0.83,NA
"Contra Costa",0.83,NA
"Humboldt",0.82,NA
"Sacramento",0.82,NA
"San Francisco",0.82,NA
"Marin",0.82,NA
"Madera",0.81,NA
"Riverside",0.81,NA
"Santa Barbara",0.78,NA
"Stanislaus",0.78,NA
"Santa Clara",0.76,NA
"Alameda",0.76,NA
"El Dorado",0.75,NA
"San Mateo",0.75,NA
"Solano",0.74,NA
"Napa",0.73,NA
"Siskiyou",0.73,NA
"Nevada",0.67,NA
