"county","Rt","Rt_change"
"Alameda",0.89,-0.03
"Butte",1.18,-0.01
"Contra Costa",0.88,-0.03
"El Dorado",1.03,0.01
"Fresno",0.91,0.01
"Humboldt",0.89,-0.08
"Imperial",1.1,0
"Kern",0.9,0.12
"Kings",0.83,0.02
"Los Angeles",0.95,0
"Madera",0.85,-0.02
"Marin",0.88,0.03
"Merced",0.86,0
"Monterey",0.81,-0.01
"Napa",0.75,0
"Nevada",1.02,0.01
"Orange",0.94,-0.01
"Placer",0.85,-0.01
"Riverside",0.94,-0.03
"Sacramento",0.92,-0.01
"San Bernardino",0.98,0
"San Diego",0.92,0
"San Francisco",0.83,-0.01
"San Joaquin",0.9,-0.01
"San Luis Obispo",0.93,0.04
"San Mateo",0.93,0
"Santa Barbara",0.84,-0.02
"Santa Clara",0.86,0
"Santa Cruz",0.88,-0.02
"Shasta",1.03,0
"Siskiyou",1.6,0
"Solano",0.9,-0.05
"Sonoma",0.79,0.01
"Stanislaus",1.02,-0.02
"Tehama",0.93,-0.01
"Tulare",0.92,-0.01
"Ventura",0.79,0.02
"Yolo",1.03,0.01
"Yuba",0.96,-0.02
