"county","Rt","Rt_change"
"Alameda",0.93,-0.03
"Butte",0.91,-0.01
"Contra Costa",0.95,0
"Fresno",0.91,-0.01
"Humboldt",1.08,-0.01
"Imperial",0.76,0
"Kern",0.95,0.01
"Kings",1.11,0.48
"Los Angeles",1.01,0.01
"Madera",1.09,0.01
"Marin",0.95,0.05
"Mendocino",1.01,0.01
"Merced",0.86,0.01
"Monterey",0.93,0
"Napa",0.99,0
"Nevada",1,0.03
"Orange",0.94,0.01
"Placer",0.96,0
"Riverside",0.99,0
"Sacramento",0.9,0.01
"San Bernardino",0.98,0
"San Diego",0.85,0.03
"San Francisco",0.95,0.01
"San Joaquin",0.95,0.01
"San Luis Obispo",1.02,-0.22
"San Mateo",0.89,0.01
"Santa Barbara",0.93,-0.04
"Santa Clara",0.88,0.06
"Santa Cruz",0.98,0.01
"Shasta",0.86,-0.01
"Siskiyou",0.73,-0.06
"Solano",0.93,0
"Sonoma",1.05,0
"Stanislaus",0.92,0.02
"Tulare",0.91,0
"Tuolumne",0.98,-0.01
"Ventura",1.01,0.01
"Yuba",1.12,-0.01
