"county","Rt","Rt_change"
"Alameda",0.78,0
"Amador",1,0
"Butte",0.94,-0.01
"Contra Costa",0.86,-0.02
"El Dorado",0.77,0.01
"Fresno",0.87,-0.01
"Humboldt",1,-0.01
"Imperial",0.94,-0.01
"Kern",0.89,0.01
"Kings",0.96,0
"Lake",0.93,0.01
"Los Angeles",0.94,0
"Madera",0.81,0
"Marin",0.84,0
"Mendocino",1.25,0.02
"Merced",0.84,0.01
"Monterey",0.84,-0.01
"Napa",0.75,0
"Nevada",0.72,0
"Orange",0.83,0
"Placer",0.82,0
"Riverside",0.89,-0.01
"Sacramento",0.83,-0.01
"San Bernardino",0.97,0
"San Diego",0.91,-0.02
"San Francisco",0.8,0
"San Joaquin",0.85,0
"San Luis Obispo",0.83,0
"San Mateo",0.79,-0.01
"Santa Barbara",0.81,0.05
"Santa Clara",0.75,0.01
"Santa Cruz",0.81,0
"Shasta",1.06,0.01
"Siskiyou",0.73,0
"Solano",0.76,-0.02
"Sonoma",0.92,0.03
"Stanislaus",0.74,0.01
"Tehama",0.95,0
"Tulare",0.92,-0.01
"Tuolumne",0.94,0.01
"Ventura",0.82,-0.01
"Yolo",0.85,0.02
"Yuba",0.95,-0.02
