"county","Rt","Rt_change"
"Alameda",0.76,0
"Amador",0.99,-0.01
"Butte",0.85,0
"Contra Costa",0.85,0
"Del Norte",0.75,-0.02
"El Dorado",0.73,-0.01
"Fresno",0.85,0
"Humboldt",0.75,-0.02
"Imperial",0.76,-0.01
"Kern",0.9,0
"Kings",0.96,0
"Los Angeles",0.88,0.01
"Madera",0.88,0
"Marin",0.85,-0.02
"Mendocino",0.99,-0.04
"Merced",0.89,-0.02
"Monterey",0.84,-0.03
"Napa",0.76,0.02
"Nevada",0.71,0.01
"Orange",0.86,-0.01
"Placer",0.83,-0.01
"Riverside",0.88,0
"Sacramento",0.83,0.01
"San Bernardino",0.92,0
"San Diego",0.83,-0.01
"San Francisco",0.81,0
"San Joaquin",0.84,0
"San Luis Obispo",0.94,0.02
"San Mateo",0.76,0.01
"Santa Barbara",0.76,-0.08
"Santa Clara",0.8,0.1
"Santa Cruz",0.82,-0.02
"Shasta",0.98,-0.01
"Siskiyou",0.72,0.01
"Solano",0.81,0
"Sonoma",1.03,0
"Stanislaus",0.89,0.01
"Tehama",0.94,-0.01
"Tulare",0.89,0
"Ventura",0.87,0
"Yolo",0.89,0
"Yuba",0.92,-0.01
