"county","Rt","Rt_change"
"Alameda",1.15,0.02
"Amador",1.1,NA
"Butte",0.91,-0.05
"Contra Costa",1.04,-0.02
"El Dorado",1.18,0.08
"Fresno",0.98,-0.02
"Humboldt",0.88,-0.12
"Imperial",0.96,0.03
"Kern",0.97,-0.06
"Kings",1.16,-0.01
"Lake",1.47,NA
"Los Angeles",1.2,-0.01
"Madera",1,-0.15
"Marin",1.26,-0.11
"Mendocino",1.04,-0.07
"Merced",0.81,-0.01
"Monterey",1.05,0
"Napa",1.06,0.05
"Nevada",0.94,-0.11
"Orange",1.15,0
"Placer",1.03,-0.06
"Riverside",1.13,0.02
"Sacramento",1.06,0.04
"San Bernardino",1.14,-0.04
"San Diego",1.16,0.03
"San Francisco",1.19,0.09
"San Joaquin",0.98,-0.04
"San Luis Obispo",1.05,-0.11
"San Mateo",1.09,-0.01
"Santa Barbara",1.09,-0.01
"Santa Clara",0.82,-0.09
"Santa Cruz",1.07,-0.01
"Shasta",0.49,-0.06
"Siskiyou",0.86,-0.04
"Solano",1.08,0.07
"Sonoma",0.96,-0.14
"Stanislaus",0.9,-0.09
"Tulare",1.08,-0.04
"Tuolumne",1.18,-0.1
"Ventura",1.11,0.02
"Yolo",1.16,-0.06
"Yuba",0.9,-0.03
