"county","Rt","Rt_change"
"Alameda",0.84,0.02
"Butte",0.92,0
"Colusa",1.06,0
"Contra Costa",0.87,-0.05
"Fresno",0.89,-0.03
"Humboldt",0.96,0.03
"Imperial",0.7,-0.03
"Kern",0.92,-0.02
"Kings",0.62,-0.48
"Los Angeles",0.94,0.05
"Madera",0.98,0
"Marin",0.88,-0.02
"Mendocino",0.92,-0.08
"Merced",0.9,0
"Monterey",0.9,-0.01
"Napa",1.01,0.04
"Nevada",0.94,-0.06
"Orange",0.93,0
"Placer",0.92,-0.01
"Riverside",0.93,0
"Sacramento",0.83,-0.02
"San Benito",0.92,0.03
"San Bernardino",0.95,0.01
"San Diego",0.77,-0.12
"San Francisco",0.91,0.02
"San Joaquin",0.92,0
"San Luis Obispo",0.94,-0.01
"San Mateo",0.82,0
"Santa Barbara",0.92,0
"Santa Clara",0.82,0
"Santa Cruz",0.94,0.03
"Shasta",0.92,-0.03
"Siskiyou",0.7,-0.03
"Solano",0.92,0
"Sonoma",1.05,-0.02
"Stanislaus",0.89,-0.04
"Tehama",0.87,0
"Tulare",0.92,-0.01
"Ventura",0.96,0.02
"Yuba",1.01,0.02
