"county","Rt","Rt_change"
"Alameda",0.89,-0.02
"Butte",0.91,0
"Colusa",1.03,-0.01
"Contra Costa",0.9,0.03
"Fresno",0.9,0.01
"Humboldt",1.02,0.02
"Imperial",0.72,0.01
"Kern",0.92,0
"Kings",0.62,0.01
"Los Angeles",0.98,0.02
"Madera",1.05,0.03
"Marin",0.89,-0.02
"Mendocino",0.97,0.02
"Merced",0.89,0
"Monterey",0.91,0.01
"Napa",1,-0.01
"Nevada",0.95,0.01
"Orange",0.93,-0.01
"Placer",0.93,0.02
"Riverside",0.93,0
"Sacramento",0.86,0.02
"San Benito",0.95,0.01
"San Bernardino",1.05,0.09
"San Diego",0.77,0
"San Francisco",0.87,-0.04
"San Joaquin",0.92,0
"San Luis Obispo",0.95,0.05
"San Mateo",0.85,0.01
"Santa Barbara",0.94,0.01
"Santa Clara",0.82,0
"Santa Cruz",0.95,0
"Shasta",0.89,-0.03
"Siskiyou",0.79,0.02
"Solano",0.91,0.01
"Sonoma",1.03,0.01
"Stanislaus",0.91,0.02
"Tehama",0.85,-0.01
"Tulare",0.9,-0.01
"Ventura",0.99,0.02
"Yuba",1.07,0.02
