"county","Rt","Rt_change"
"Alameda",0.87,-0.01
"Butte",1.14,-0.03
"Calaveras",1.14,NA
"Contra Costa",0.93,0.01
"El Dorado",1.02,-0.01
"Fresno",0.9,0
"Humboldt",0.87,0.02
"Imperial",1.1,-0.01
"Kern",0.95,0.13
"Kings",0.86,0.03
"Los Angeles",0.96,0
"Madera",0.83,-0.02
"Marin",0.9,0.01
"Merced",0.85,-0.01
"Monterey",0.82,0
"Napa",0.75,-0.01
"Nevada",1.04,-0.01
"Orange",0.88,-0.04
"Placer",0.85,0.01
"Riverside",0.9,-0.04
"Sacramento",0.88,-0.03
"San Bernardino",0.95,-0.01
"San Diego",0.9,-0.01
"San Francisco",0.84,0.02
"San Joaquin",0.9,0
"San Luis Obispo",0.95,-0.03
"San Mateo",0.91,-0.01
"Santa Barbara",0.83,-0.01
"Santa Clara",0.83,-0.01
"Santa Cruz",0.85,-0.02
"Shasta",1.1,0.05
"Siskiyou",1.54,0.07
"Solano",0.88,-0.01
"Sonoma",0.8,0.01
"Stanislaus",0.94,-0.04
"Tehama",0.92,0
"Tulare",0.89,-0.02
"Ventura",0.81,0.03
"Yolo",1.03,0
"Yuba",0.95,0
