"county","Rt","Rt_change"
"Alameda",0.73,-0.01
"Amador",1.01,0.02
"Butte",0.9,0.01
"Contra Costa",0.85,0.01
"Del Norte",0.8,0
"El Dorado",0.69,0
"Fresno",0.87,-0.01
"Humboldt",0.76,-0.03
"Imperial",0.82,-0.06
"Kern",0.92,0.02
"Kings",0.97,0
"Los Angeles",0.85,0.02
"Madera",0.9,0.01
"Marin",0.86,0.01
"Mendocino",0.94,0
"Merced",0.88,0
"Monterey",0.84,0.02
"Napa",0.73,0
"Nevada",0.88,0.02
"Orange",0.84,0
"Placer",0.86,0.01
"Riverside",0.84,-0.03
"Sacramento",0.83,-0.01
"San Bernardino",0.86,0
"San Diego",0.75,-0.01
"San Francisco",0.83,0
"San Joaquin",0.86,0
"San Luis Obispo",0.85,-0.18
"San Mateo",0.78,0.02
"Santa Barbara",0.77,0.01
"Santa Clara",0.73,0
"Santa Cruz",0.81,0.01
"Shasta",1.02,-0.01
"Siskiyou",0.73,0.02
"Solano",0.86,0.02
"Sonoma",1.08,0.02
"Stanislaus",0.9,-0.04
"Tehama",0.9,-0.02
"Tulare",0.89,-0.01
"Tuolumne",0.96,-0.03
"Ventura",0.85,-0.02
"Yuba",0.93,0
