"county","Rt","Rt_change"
"Alameda",1.16,0.01
"Amador",1.1,0
"Butte",0.95,0.04
"Contra Costa",1.04,0
"El Dorado",1.23,0.05
"Fresno",0.98,0
"Humboldt",0.86,-0.02
"Imperial",0.97,0.01
"Kern",0.97,0
"Kings",1.16,0
"Lake",1.58,0.11
"Los Angeles",1.17,-0.03
"Madera",1.06,0.06
"Marin",1.22,-0.04
"Mendocino",1.03,-0.01
"Merced",0.82,0.01
"Monterey",1.06,0.01
"Napa",1.1,0.04
"Nevada",0.95,0.01
"Orange",1.17,0.02
"Placer",1.01,-0.02
"Riverside",1.16,0.03
"Sacramento",1.1,0.04
"San Bernardino",1.16,0.02
"San Diego",1.15,-0.01
"San Francisco",1.23,0.04
"San Joaquin",1,0.02
"San Luis Obispo",1.19,0.14
"San Mateo",1.11,0.02
"Santa Barbara",1.11,0.02
"Santa Clara",0.84,0.02
"Santa Cruz",1.08,0.01
"Shasta",0.52,0.03
"Siskiyou",0.82,-0.04
"Solano",1.08,0
"Sonoma",0.94,-0.02
"Stanislaus",0.85,-0.05
"Tulare",1.1,0.02
"Tuolumne",1.19,0.01
"Ventura",1.12,0.01
"Yolo",1.18,0.02
"Yuba",0.91,0.01
