"county","Rt","Rt_change"
"Alameda",0.81,0.01
"Amador",1.02,0.01
"Butte",0.98,-0.01
"Contra Costa",0.92,-0.01
"El Dorado",0.81,-0.01
"Fresno",0.88,0
"Humboldt",1.02,0.13
"Imperial",0.95,-0.02
"Kern",0.88,0
"Kings",0.95,0
"Lake",0.91,NA
"Los Angeles",0.94,0
"Madera",0.81,0.01
"Marin",0.84,-0.03
"Mendocino",1.22,0.03
"Merced",0.81,0
"Monterey",0.84,0
"Napa",0.75,0.01
"Nevada",0.72,0
"Orange",0.83,0
"Placer",0.83,0
"Riverside",0.91,-0.01
"Sacramento",0.86,0.01
"San Bernardino",0.96,0
"San Diego",0.94,0
"San Francisco",0.8,0
"San Joaquin",0.87,0
"San Luis Obispo",0.89,-0.04
"San Mateo",0.84,0
"Santa Barbara",0.8,0
"Santa Clara",0.73,-0.01
"Santa Cruz",0.8,0
"Shasta",1.06,0
"Siskiyou",0.76,0
"Solano",0.81,0
"Sonoma",0.85,0.02
"Stanislaus",0.75,-0.01
"Tehama",0.96,0.03
"Tulare",0.91,-0.01
"Tuolumne",0.89,0.02
"Ventura",0.82,-0.06
"Yolo",0.84,-0.01
"Yuba",1.01,-0.01
