"county","Rt","Rt_change"
"Alameda",0.76,0
"Amador",1,0
"Butte",0.85,-0.01
"Contra Costa",0.85,-0.02
"Del Norte",0.77,0
"El Dorado",0.74,0
"Fresno",0.85,0
"Humboldt",0.77,-0.08
"Imperial",0.77,-0.02
"Kern",0.9,0.01
"Kings",0.96,0
"Los Angeles",0.87,0.01
"Madera",0.88,0
"Marin",0.87,0.02
"Mendocino",1.03,-0.03
"Merced",0.91,0.01
"Monterey",0.87,0.02
"Napa",0.74,-0.02
"Nevada",0.7,0
"Orange",0.87,0.01
"Placer",0.84,0.02
"Riverside",0.88,0
"Sacramento",0.82,-0.01
"San Bernardino",0.92,0.03
"San Diego",0.84,-0.02
"San Francisco",0.81,0
"San Joaquin",0.84,0.01
"San Luis Obispo",0.92,0.02
"San Mateo",0.75,0
"Santa Barbara",0.84,0.08
"Santa Clara",0.7,-0.06
"Santa Cruz",0.84,0
"Shasta",0.99,0
"Siskiyou",0.71,-0.02
"Solano",0.81,0.02
"Sonoma",1.03,0
"Stanislaus",0.88,0.02
"Tehama",0.95,-0.03
"Tulare",0.89,0.01
"Ventura",0.87,0.01
"Yolo",0.89,0
"Yuba",0.93,0.02
