"county","Rt","Rt_change"
"Alameda",0.93,0
"Butte",1.19,0.02
"Contra Costa",0.91,0
"El Dorado",1.02,0.01
"Fresno",0.91,-0.01
"Humboldt",1.14,-0.08
"Imperial",1.11,-0.02
"Kern",0.75,-0.02
"Kings",0.9,0.01
"Los Angeles",0.95,0
"Madera",0.87,-0.01
"Marin",0.81,-0.03
"Merced",0.86,-0.01
"Monterey",0.83,0.01
"Napa",0.76,0.01
"Nevada",1.01,0.01
"Orange",0.97,-0.02
"Placer",0.87,-0.01
"Riverside",0.98,0
"Sacramento",0.93,0
"San Bernardino",1,-0.01
"San Diego",0.93,-0.01
"San Francisco",0.85,0
"San Joaquin",0.92,0.02
"San Luis Obispo",0.97,0.01
"San Mateo",0.92,0
"Santa Barbara",0.87,-0.06
"Santa Clara",0.84,-0.03
"Santa Cruz",0.9,0.02
"Shasta",1.05,-0.01
"Siskiyou",1.53,0
"Solano",0.95,-0.01
"Sonoma",0.78,0.01
"Stanislaus",1.05,-0.03
"Tehama",0.94,0.01
"Tulare",0.94,0
"Ventura",0.79,0.01
"Yolo",1.02,0
"Yuba",0.99,-0.02
