"county","Rt","Rt_change"
"Alameda",0.82,0.01
"Butte",0.92,-0.02
"Colusa",1.06,-0.01
"Contra Costa",0.92,0.03
"Fresno",0.92,0.01
"Humboldt",0.93,0.01
"Imperial",0.73,0
"Kern",0.94,0
"Kings",1.1,0
"Los Angeles",0.89,-0.05
"Madera",0.98,0.02
"Marin",0.9,-0.02
"Mendocino",1,0.01
"Merced",0.9,-0.01
"Monterey",0.91,0.01
"Napa",0.97,0.04
"Nevada",1,0.01
"Orange",0.93,0.03
"Placer",0.93,0
"Riverside",0.93,0
"Sacramento",0.85,0
"San Benito",0.89,0.03
"San Bernardino",0.94,0.01
"San Diego",0.89,0.05
"San Francisco",0.89,0.01
"San Joaquin",0.92,0
"San Luis Obispo",0.95,-0.05
"San Mateo",0.82,0.01
"Santa Barbara",0.92,0.06
"Santa Clara",0.82,0.01
"Santa Cruz",0.91,0.03
"Shasta",0.95,-0.06
"Siskiyou",0.73,0
"Solano",0.92,-0.01
"Sonoma",1.07,-0.03
"Stanislaus",0.93,0.01
"Tehama",0.87,-0.03
"Tulare",0.93,-0.01
"Ventura",0.94,-0.03
"Yuba",0.99,-0.02
