"county","Rt","Rt_change"
"Alameda",1.02,0.03
"Butte",0.94,0.02
"Contra Costa",1.01,0.03
"El Dorado",0.98,0.03
"Fresno",0.95,0.02
"Humboldt",1.09,0.03
"Imperial",0.8,0.01
"Kern",0.97,0.01
"Kings",1.27,-0.13
"Los Angeles",1.1,0.03
"Madera",1.12,0.02
"Marin",1.05,0.06
"Mendocino",1.03,0.03
"Merced",0.84,0.01
"Monterey",0.96,-0.01
"Napa",1.01,0.01
"Nevada",1.03,0.01
"Orange",1.02,0.04
"Placer",1.02,0.01
"Riverside",1.04,0.02
"Sacramento",0.96,0.02
"San Bernardino",1.05,0.01
"San Diego",0.95,0.05
"San Francisco",0.99,0.03
"San Joaquin",0.98,0.01
"San Luis Obispo",1.06,0.04
"San Mateo",0.96,0.02
"Santa Barbara",0.98,0.02
"Santa Clara",0.85,-0.01
"Santa Cruz",1.03,0.02
"Shasta",0.85,0
"Siskiyou",0.78,-0.09
"Solano",0.98,0.01
"Sonoma",1.09,0.01
"Stanislaus",0.95,0.02
"Tulare",1,0.04
"Tuolumne",1.11,0.04
"Ventura",1.03,0.06
"Yolo",1.06,0.03
"Yuba",1.09,0.01
