"county","Rt","Rt_change"
"Alameda",0.75,-0.01
"Amador",1,0
"Butte",0.86,-0.01
"Contra Costa",0.86,0.02
"El Dorado",0.75,0
"Fresno",0.84,-0.01
"Humboldt",0.77,-0.02
"Imperial",0.8,0
"Kern",0.91,0.01
"Kings",0.96,0.27
"Lake",0.93,0
"Lassen",0,NA
"Los Angeles",0.86,-0.01
"Marin",0.84,0
"Mendocino",1.07,-0.02
"Merced",0.91,0
"Monterey",0.84,-0.01
"Napa",0.73,-0.03
"Nevada",0.69,0
"Orange",0.85,0
"Placer",0.8,-0.01
"Riverside",0.79,-0.08
"Sacramento",0.81,-0.01
"San Bernardino",0.94,-0.01
"San Diego",0.87,-0.01
"San Francisco",0.81,0
"San Joaquin",0.81,-0.01
"San Luis Obispo",0.96,0.09
"San Mateo",0.75,0
"Santa Barbara",0.83,-0.02
"Santa Clara",0.74,0.02
"Santa Cruz",0.81,0
"Shasta",0.98,0.02
"Siskiyou",0.72,-0.01
"Solano",0.77,0.01
"Sonoma",1.02,0.02
"Stanislaus",0.83,0.02
"Tehama",0.99,0.02
"Tulare",0.88,0
"Tuolumne",1,0.01
"Ventura",0.88,0.02
"Yolo",0.91,0.01
"Yuba",0.9,0.01
