"county","Rt","Rt_change"
"Alameda",0.8,-0.02
"Amador",1.01,NA
"Butte",1.02,-0.03
"Colusa",0.99,-0.01
"Contra Costa",0.87,0
"Fresno",0.89,0
"Humboldt",0.84,0.02
"Imperial",1.05,-0.04
"Kern",0.87,0.02
"Kings",0.91,0
"Los Angeles",0.93,-0.01
"Madera",0.81,-0.04
"Marin",0.88,-0.02
"Mendocino",1.1,NA
"Merced",0.82,-0.04
"Monterey",0.85,0.01
"Napa",0.75,0.02
"Nevada",0.79,-0.1
"Orange",0.84,0
"Placer",0.86,0.01
"Riverside",0.96,0.04
"Sacramento",0.88,-0.01
"San Bernardino",0.92,0
"San Diego",0.93,-0.01
"San Francisco",0.81,0.01
"San Joaquin",0.9,-0.01
"San Luis Obispo",0.69,0.09
"San Mateo",0.87,-0.01
"Santa Barbara",0.8,0.02
"Santa Clara",0.69,-0.03
"Santa Cruz",0.81,0
"Shasta",1.06,-0.01
"Siskiyou",0.82,-0.06
"Solano",0.84,-0.01
"Sonoma",0.8,-0.03
"Stanislaus",0.8,-0.01
"Tehama",0.9,-0.01
"Tulare",0.89,0
"Tuolumne",0.82,0.01
"Ventura",0.81,0
"Yolo",0.89,-0.01
"Yuba",1.03,0.01
