"county","Rt","Rt_change"
"Alameda",0.78,0
"Amador",1.01,0.01
"Butte",0.93,-0.01
"Contra Costa",0.85,-0.01
"El Dorado",0.75,-0.02
"Fresno",0.88,0.01
"Humboldt",0.99,-0.01
"Imperial",0.93,-0.01
"Kern",0.88,-0.01
"Kings",0.96,0
"Lake",0.93,0
"Los Angeles",0.94,0
"Madera",0.81,0
"Marin",0.83,-0.01
"Mendocino",1.27,0.02
"Merced",0.87,0.03
"Monterey",0.84,0
"Napa",0.75,0
"Nevada",0.69,-0.03
"Orange",0.83,0
"Placer",0.82,0
"Riverside",0.9,0.01
"Sacramento",0.84,0.01
"San Bernardino",0.97,0
"San Diego",0.91,0
"San Francisco",0.8,0
"San Joaquin",0.85,0
"San Luis Obispo",1.05,0.22
"San Mateo",0.79,0
"Santa Barbara",0.75,-0.06
"Santa Clara",0.74,-0.01
"Santa Cruz",0.82,0.01
"Shasta",1.01,-0.05
"Siskiyou",0.74,0.01
"Solano",0.76,0
"Sonoma",0.95,0.03
"Stanislaus",0.73,-0.01
"Tehama",0.95,0
"Tulare",0.92,0
"Tuolumne",0.95,0.01
"Ventura",0.84,0.02
"Yolo",0.85,0
"Yuba",0.93,-0.02
