"county","Rt","Rt_change"
"Alameda",0.74,-0.01
"Amador",0.99,0
"Butte",0.89,0.02
"Contra Costa",0.84,-0.05
"Del Norte",0.8,0.01
"El Dorado",0.69,-0.03
"Fresno",0.88,0.02
"Humboldt",0.79,0.04
"Imperial",0.88,0
"Kern",0.9,-0.01
"Kings",0.97,0
"Los Angeles",0.83,-0.04
"Madera",0.89,-0.02
"Marin",0.85,0
"Mendocino",0.94,-0.03
"Merced",0.88,0
"Monterey",0.82,-0.02
"Napa",0.73,0
"Nevada",0.86,0.01
"Orange",0.84,0
"Placer",0.85,-0.01
"Riverside",0.87,0
"Sacramento",0.84,0.01
"San Bernardino",0.86,-0.02
"San Diego",0.76,-0.03
"San Francisco",0.83,0
"San Joaquin",0.86,0.01
"San Luis Obispo",1.03,0.13
"San Mateo",0.76,0.01
"Santa Barbara",0.76,-0.01
"Santa Clara",0.73,-0.01
"Santa Cruz",0.8,0
"Shasta",1.03,0.04
"Siskiyou",0.71,0
"Solano",0.84,0.01
"Sonoma",1.06,0.01
"Stanislaus",0.94,0.04
"Tehama",0.92,-0.02
"Tulare",0.9,0.01
"Tuolumne",0.99,0.02
"Ventura",0.87,0
"Yolo",0.82,-0.01
"Yuba",0.93,0
