"county","Rt","Rt_change"
"Alameda",0.8,0
"Amador",1.01,0.02
"Butte",0.99,-0.01
"Contra Costa",0.93,-0.01
"El Dorado",0.82,-0.02
"Fresno",0.88,-0.01
"Humboldt",0.89,0.01
"Imperial",0.97,0.01
"Kern",0.88,0.02
"Kings",0.95,0.01
"Los Angeles",0.94,0
"Madera",0.8,-0.05
"Marin",0.87,0.01
"Mendocino",1.19,0.02
"Merced",0.81,-0.01
"Monterey",0.84,0
"Napa",0.74,0
"Nevada",0.72,-0.01
"Orange",0.83,0
"Placer",0.83,0
"Riverside",0.92,-0.01
"Sacramento",0.85,-0.01
"San Bernardino",0.96,0.01
"San Diego",0.94,0.01
"San Francisco",0.8,0
"San Joaquin",0.87,-0.02
"San Luis Obispo",0.93,0.19
"San Mateo",0.84,-0.01
"Santa Barbara",0.8,0
"Santa Clara",0.74,0.02
"Santa Cruz",0.8,-0.01
"Shasta",1.06,0
"Siskiyou",0.76,-0.03
"Solano",0.81,0
"Sonoma",0.83,0.01
"Stanislaus",0.76,-0.01
"Tehama",0.93,0
"Tulare",0.92,0.02
"Tuolumne",0.87,0.01
"Ventura",0.88,-0.01
"Yolo",0.85,-0.01
"Yuba",1.02,-0.01
