"county","Rt","Rt_change"
"Alameda",0.81,0
"Butte",0.94,0
"Colusa",1.07,-0.01
"Contra Costa",0.89,-0.01
"Fresno",0.91,0
"Humboldt",0.92,0.01
"Imperial",0.73,0
"Kern",0.94,0
"Kings",1.1,0
"Los Angeles",0.94,0.05
"Madera",0.96,0.02
"Marin",0.92,0.03
"Mendocino",0.99,-0.01
"Merced",0.91,-0.01
"Monterey",0.9,0
"Napa",0.93,0.01
"Nevada",0.99,0.02
"Orange",0.9,0
"Placer",0.93,-0.01
"Riverside",0.93,-0.01
"Sacramento",0.85,0
"San Benito",0.86,0.01
"San Bernardino",0.93,0
"San Diego",0.84,-0.06
"San Francisco",0.88,-0.01
"San Joaquin",0.92,-0.01
"San Luis Obispo",1,0.1
"San Mateo",0.81,-0.01
"Santa Barbara",0.86,0.01
"Santa Clara",0.81,0.01
"Santa Cruz",0.88,0
"Shasta",1.01,-0.03
"Siskiyou",0.73,0.01
"Solano",0.93,0.01
"Sonoma",1.1,-0.02
"Stanislaus",0.92,0.01
"Tehama",0.9,-0.01
"Tulare",0.94,0
"Ventura",0.97,0.01
"Yuba",1.01,-0.01
