"county","Rt","Rt_change"
"San Luis Obispo",1.24,NA
"Yuba",1.13,NA
"Humboldt",1.09,NA
"Madera",1.08,NA
"Sonoma",1.05,NA
"Ventura",1,NA
"Los Angeles",1,NA
"Mendocino",1,NA
"Riverside",0.99,NA
"Napa",0.99,NA
"Tuolumne",0.99,NA
"San Bernardino",0.98,NA
"Santa Barbara",0.97,NA
"Santa Cruz",0.97,NA
"Nevada",0.97,NA
"Placer",0.96,NA
"Alameda",0.96,NA
"Contra Costa",0.95,NA
"San Joaquin",0.94,NA
"Kern",0.94,NA
"San Francisco",0.94,NA
"Monterey",0.93,NA
"Orange",0.93,NA
"Solano",0.93,NA
"Butte",0.92,NA
"Fresno",0.92,NA
"Tulare",0.91,NA
"Stanislaus",0.9,NA
"Marin",0.9,NA
"Sacramento",0.89,NA
"San Mateo",0.88,NA
"Shasta",0.87,NA
"Merced",0.85,NA
"San Diego",0.82,NA
"Santa Clara",0.82,NA
"Siskiyou",0.79,NA
"Imperial",0.76,NA
"Kings",0.63,NA
