"county","Rt","Rt_change"
"Alameda",0.94,0.01
"Butte",0.92,0.01
"Contra Costa",0.96,0.01
"El Dorado",0.9,NA
"Fresno",0.92,0.01
"Humboldt",1.07,-0.01
"Imperial",0.76,0
"Kern",0.97,0.02
"Kings",0.63,-0.48
"Los Angeles",0.98,-0.03
"Madera",1.08,-0.01
"Marin",0.97,0.02
"Mendocino",1,-0.01
"Merced",0.84,-0.02
"Monterey",0.94,0.01
"Napa",0.99,0
"Nevada",1,0
"Orange",0.94,0
"Placer",0.97,0.01
"Riverside",0.99,0
"Sacramento",0.92,0.02
"San Bernardino",1,0.02
"San Diego",0.85,0
"San Francisco",0.92,-0.03
"San Joaquin",0.95,0
"San Luis Obispo",0.97,-0.05
"San Mateo",0.91,0.02
"Santa Barbara",0.98,0.05
"Santa Clara",0.86,-0.02
"Santa Cruz",0.99,0.01
"Shasta",0.86,0
"Siskiyou",0.74,0.01
"Solano",0.94,0.01
"Sonoma",1.05,0
"Stanislaus",0.91,-0.01
"Tulare",0.92,0.01
"Tuolumne",1.02,0.04
"Ventura",0.99,-0.02
"Yolo",0.97,NA
"Yuba",1.09,-0.03
