"county","Rt","Rt_change"
"Sonoma",1.13,NA
"Kings",1.08,NA
"Shasta",1.06,NA
"Yuba",1.05,NA
"Colusa",1.04,NA
"Tuolumne",1.04,NA
"Mendocino",1.01,NA
"Nevada",0.97,NA
"Kern",0.96,NA
"Madera",0.94,NA
"Butte",0.94,NA
"Ventura",0.94,NA
"Merced",0.94,NA
"Tulare",0.94,NA
"Riverside",0.92,NA
"Placer",0.92,NA
"Los Angeles",0.91,NA
"Stanislaus",0.91,NA
"Fresno",0.91,NA
"San Joaquin",0.91,NA
"Monterey",0.91,NA
"Tehama",0.91,NA
"Solano",0.91,NA
"San Bernardino",0.9,NA
"Humboldt",0.89,NA
"Contra Costa",0.89,NA
"Orange",0.89,NA
"Napa",0.88,NA
"San Francisco",0.87,NA
"Santa Cruz",0.87,NA
"Amador",0.86,NA
"San Luis Obispo",0.86,NA
"Sacramento",0.85,NA
"Santa Barbara",0.84,NA
"Del Norte",0.83,NA
"San Mateo",0.8,NA
"Santa Clara",0.8,NA
"San Diego",0.76,NA
"Alameda",0.75,NA
"Siskiyou",0.73,NA
"Imperial",0.72,NA
"El Dorado",0.72,NA
