"county","Rt","Rt_change"
"Alameda",0.99,0.02
"Butte",0.92,0
"Contra Costa",0.98,0.01
"El Dorado",0.95,0.03
"Fresno",0.93,0.01
"Humboldt",1.06,0
"Imperial",0.79,0.01
"Kern",0.96,0.01
"Kings",1.4,0.74
"Los Angeles",1.07,0.03
"Madera",1.1,0.01
"Marin",0.99,0.04
"Mendocino",1,-0.01
"Merced",0.83,-0.01
"Monterey",0.97,0.02
"Napa",1,0
"Nevada",1.02,0.01
"Orange",0.98,0.02
"Placer",1.01,0.02
"Riverside",1.02,0.05
"Sacramento",0.94,0.02
"San Bernardino",1.04,0.03
"San Diego",0.9,0.01
"San Francisco",0.96,0.02
"San Joaquin",0.97,0.01
"San Luis Obispo",1.02,-0.29
"San Mateo",0.94,0.02
"Santa Barbara",0.96,-0.04
"Santa Clara",0.86,0.03
"Santa Cruz",1.01,0.01
"Shasta",0.85,0.07
"Siskiyou",0.87,0.12
"Solano",0.97,0.02
"Sonoma",1.08,0.02
"Stanislaus",0.93,0
"Tulare",0.96,0.02
"Tuolumne",1.07,0.02
"Ventura",0.97,-0.04
"Yolo",1.03,0.02
"Yuba",1.08,-0.01
