"county","Rt","Rt_change"
"Alameda",0.79,-0.01
"Amador",0.99,0.01
"Butte",0.96,0
"Contra Costa",0.88,-0.02
"El Dorado",0.76,-0.02
"Fresno",0.88,0
"Humboldt",1.02,-0.01
"Imperial",0.96,0
"Kern",0.89,0.01
"Kings",0.96,0.01
"Lake",0.91,-0.01
"Los Angeles",0.94,-0.01
"Madera",0.81,0
"Marin",0.84,-0.01
"Mendocino",1.23,0.01
"Merced",0.84,0.01
"Monterey",0.84,0
"Napa",0.75,0
"Nevada",0.72,-0.01
"Orange",0.82,0
"Placer",0.82,-0.01
"Riverside",0.91,-0.01
"Sacramento",0.85,-0.01
"San Bernardino",0.92,-0.04
"San Diego",0.93,-0.01
"San Francisco",0.8,0
"San Joaquin",0.86,0
"San Luis Obispo",0.9,-0.01
"San Mateo",0.81,-0.01
"Santa Barbara",0.79,-0.01
"Santa Clara",0.76,0.02
"Santa Cruz",0.8,0.01
"Shasta",1.05,-0.01
"Siskiyou",0.74,-0.01
"Solano",0.79,-0.01
"Sonoma",0.87,0.02
"Stanislaus",0.73,0
"Tehama",0.96,0.01
"Tulare",0.93,0
"Tuolumne",0.91,0.01
"Ventura",0.88,0.06
"Yolo",0.83,0
"Yuba",0.99,-0.01
