"county","Rt","Rt_change"
"Alameda",0.94,-0.01
"Butte",1.17,0.01
"Contra Costa",0.93,0.02
"El Dorado",1.02,-0.03
"Fresno",0.92,0.01
"Humboldt",1.27,0.07
"Imperial",1.15,-0.03
"Kern",0.77,0.03
"Kings",0.72,-0.17
"Los Angeles",0.96,0
"Madera",0.87,0
"Marin",0.84,0.05
"Merced",0.88,0.03
"Monterey",0.83,0.01
"Napa",0.76,-0.01
"Nevada",1,-0.01
"Orange",1,-0.01
"Placer",0.88,-0.01
"Riverside",0.99,0.01
"Sacramento",0.95,0
"San Bernardino",1.01,0.01
"San Diego",0.95,-0.01
"San Francisco",0.84,-0.03
"San Joaquin",0.9,0
"San Luis Obispo",1,-0.04
"San Mateo",0.93,0
"Santa Barbara",0.93,0.07
"Santa Clara",0.89,0.03
"Santa Cruz",0.93,0.03
"Shasta",1.07,0
"Siskiyou",1.47,0.08
"Solano",0.98,-0.01
"Sonoma",0.77,-0.01
"Stanislaus",1.08,0
"Tehama",0.94,0.01
"Tulare",0.94,-0.01
"Ventura",0.77,0.01
"Yolo",1.01,0
"Yuba",1.02,0
