"county","Rt","Rt_change"
"Alameda",0.8,0.01
"Amador",0.99,0.01
"Butte",1,-0.02
"Colusa",0.98,0
"Contra Costa",0.94,-0.01
"El Dorado",0.84,NA
"Fresno",0.89,0.01
"Humboldt",0.88,0.03
"Imperial",0.96,-0.11
"Kern",0.86,0
"Kings",0.94,-0.02
"Los Angeles",0.94,0
"Madera",0.85,0.01
"Marin",0.86,-0.01
"Mendocino",1.17,0.03
"Merced",0.82,0.01
"Monterey",0.84,-0.01
"Napa",0.74,0
"Nevada",0.73,-0.02
"Orange",0.83,-0.01
"Placer",0.83,-0.01
"Riverside",0.93,0
"Sacramento",0.86,-0.01
"San Bernardino",0.95,0.02
"San Diego",0.93,0
"San Francisco",0.8,0.01
"San Joaquin",0.89,0.01
"San Luis Obispo",0.74,-0.12
"San Mateo",0.85,-0.01
"Santa Barbara",0.8,0
"Santa Clara",0.72,-0.03
"Santa Cruz",0.81,0.02
"Shasta",1.06,0.01
"Siskiyou",0.79,-0.01
"Solano",0.81,-0.02
"Sonoma",0.82,0
"Stanislaus",0.77,-0.06
"Tehama",0.93,0.01
"Tulare",0.9,0
"Tuolumne",0.86,0.07
"Ventura",0.89,0.07
"Yolo",0.86,0.01
"Yuba",1.03,0
