"county","Rt","Rt_change"
"Alameda",0.76,-0.01
"Amador",1.01,0
"Butte",0.91,-0.02
"Contra Costa",0.85,0
"El Dorado",0.75,0
"Fresno",0.87,0
"Humboldt",0.96,-0.02
"Imperial",0.92,0
"Kern",0.9,0.01
"Kings",0.96,0
"Lake",0.95,0.02
"Los Angeles",0.92,-0.01
"Madera",0.82,-0.07
"Marin",0.83,0
"Mendocino",1.24,-0.01
"Merced",0.87,-0.01
"Monterey",0.84,0
"Napa",0.75,0.01
"Nevada",0.7,-0.01
"Orange",0.83,0.01
"Placer",0.84,0.01
"Riverside",0.89,0.07
"Sacramento",0.83,0
"San Bernardino",0.97,0.01
"San Diego",0.92,0.01
"San Francisco",0.82,0.01
"San Joaquin",0.84,-0.01
"San Luis Obispo",0.96,-0.02
"San Mateo",0.78,0
"Santa Barbara",0.78,0.03
"Santa Clara",0.74,0.02
"Santa Cruz",0.9,0.08
"Shasta",1,-0.07
"Siskiyou",0.75,0
"Solano",0.75,0
"Sonoma",0.97,0
"Stanislaus",0.73,0.01
"Tehama",0.93,-0.01
"Tulare",0.92,0
"Tuolumne",0.96,0.03
"Ventura",0.85,-0.04
"Yolo",0.87,0.01
"Yuba",0.9,-0.01
