"county","Rt","Rt_change"
"Alameda",0.75,0
"Amador",0.99,0
"Butte",0.87,0.01
"Contra Costa",0.89,-0.02
"Del Norte",0.79,0
"El Dorado",0.72,0.01
"Fresno",0.86,0
"Humboldt",0.75,0.01
"Imperial",0.88,0
"Kern",0.91,-0.01
"Kings",0.97,0
"Los Angeles",0.87,0.04
"Madera",0.91,0.02
"Marin",0.85,-0.03
"Mendocino",0.97,0
"Merced",0.88,0
"Monterey",0.84,0
"Napa",0.73,-0.03
"Nevada",0.85,0.12
"Orange",0.84,0
"Placer",0.86,0.01
"Riverside",0.87,0.12
"Sacramento",0.83,0
"San Bernardino",0.88,0.01
"San Diego",0.79,-0.02
"San Francisco",0.83,0.01
"San Joaquin",0.85,0.01
"San Luis Obispo",0.9,-0.01
"San Mateo",0.75,0
"Santa Barbara",0.77,0
"Santa Clara",0.74,-0.01
"Santa Cruz",0.8,0
"Shasta",0.99,-0.05
"Siskiyou",0.71,-0.01
"Solano",0.83,-0.01
"Sonoma",1.05,0.01
"Stanislaus",0.9,0
"Tehama",0.94,0
"Tulare",0.89,-0.01
"Tuolumne",0.97,NA
"Ventura",0.87,-0.01
"Yolo",0.83,-0.04
"Yuba",0.93,0
