"county","Rt","Rt_change"
"Alameda",0.77,0.02
"Butte",0.95,0.01
"Colusa",1.07,0.03
"Contra Costa",0.9,0.01
"Del Norte",0.84,0.01
"El Dorado",0.72,0
"Fresno",0.91,0
"Humboldt",0.9,0.01
"Imperial",0.72,0
"Kern",0.94,-0.02
"Kings",1.09,0.01
"Los Angeles",0.87,-0.04
"Madera",0.94,0
"Mendocino",1.01,0
"Merced",0.91,-0.03
"Monterey",0.9,-0.01
"Napa",0.89,0.01
"Nevada",0.98,0.01
"Orange",0.89,0
"Placer",0.92,0
"Riverside",0.95,0.03
"Sacramento",0.85,0
"San Bernardino",0.93,0.03
"San Diego",0.87,0.11
"San Francisco",0.88,0.01
"San Joaquin",0.92,0.01
"San Luis Obispo",1.13,0.27
"San Mateo",0.8,0
"Santa Barbara",0.84,0
"Santa Clara",0.81,0.01
"Santa Cruz",0.86,-0.01
"Shasta",1.05,-0.01
"Siskiyou",0.69,-0.04
"Solano",0.93,0.02
"Sonoma",1.12,-0.01
"Stanislaus",0.94,0.03
"Tehama",0.9,-0.01
"Tulare",0.94,0
"Tuolumne",1.04,0
"Ventura",0.94,0
"Yuba",1.04,-0.01
