"county","Rt","Rt_change"
"Alameda",0.76,0.01
"Amador",1,0
"Butte",0.86,0
"Contra Costa",0.87,0.01
"Del Norte",0.77,NA
"El Dorado",0.74,-0.01
"Fresno",0.85,0.01
"Humboldt",0.85,0.08
"Imperial",0.79,-0.01
"Kern",0.89,-0.02
"Kings",0.96,0
"Lake",0.93,0
"Los Angeles",0.86,0
"Madera",0.88,NA
"Marin",0.85,0.01
"Mendocino",1.06,-0.01
"Merced",0.9,-0.01
"Monterey",0.85,0.01
"Napa",0.76,0.03
"Nevada",0.7,0.01
"Orange",0.86,0.01
"Placer",0.82,0.02
"Riverside",0.88,0.09
"Sacramento",0.83,0.02
"San Bernardino",0.89,-0.05
"San Diego",0.86,-0.01
"San Francisco",0.81,0
"San Joaquin",0.83,0.02
"San Luis Obispo",0.9,-0.06
"San Mateo",0.75,0
"Santa Barbara",0.76,-0.07
"Santa Clara",0.76,0.02
"Santa Cruz",0.84,0.03
"Shasta",0.99,0.01
"Siskiyou",0.73,0.01
"Solano",0.79,0.02
"Sonoma",1.03,0.01
"Stanislaus",0.86,0.03
"Tehama",0.98,-0.01
"Tulare",0.88,0
"Tuolumne",0.98,-0.02
"Ventura",0.86,-0.02
"Yolo",0.89,-0.02
"Yuba",0.91,0.01
