"county","Rt","Rt_change"
"Alameda",0.77,0.01
"Amador",1.18,0.17
"Butte",0.89,-0.02
"Contra Costa",0.85,0
"El Dorado",0.75,0
"Fresno",0.86,-0.01
"Humboldt",0.92,-0.04
"Imperial",0.91,-0.01
"Kern",0.89,-0.01
"Kings",0.97,0.01
"Lake",0.94,-0.01
"Los Angeles",0.91,-0.01
"Madera",0.81,-0.01
"Marin",0.82,-0.01
"Mendocino",1.2,-0.04
"Merced",0.89,0.02
"Monterey",0.86,0.02
"Napa",0.74,-0.01
"Nevada",0.67,-0.03
"Orange",0.83,0
"Placer",0.83,-0.01
"Riverside",0.9,0.01
"Sacramento",0.83,0
"San Bernardino",0.97,0
"San Diego",0.91,-0.01
"San Francisco",0.81,-0.01
"San Joaquin",0.83,-0.01
"San Luis Obispo",0.98,0.02
"San Mateo",0.77,-0.01
"Santa Barbara",0.75,-0.03
"Santa Clara",0.73,-0.01
"Santa Cruz",0.83,-0.07
"Shasta",0.99,-0.01
"Siskiyou",0.73,-0.02
"Solano",0.73,-0.02
"Sonoma",0.99,0.02
"Stanislaus",0.75,0.02
"Tehama",0.93,0
"Tulare",0.91,-0.01
"Tuolumne",0.96,0
"Ventura",0.85,0
"Yolo",0.88,0.01
"Yuba",0.91,0.01
