"county","Rt","Rt_change"
"Alameda",1.05,0.03
"Butte",0.95,0.01
"Contra Costa",1.05,0.04
"El Dorado",1.03,0.05
"Fresno",0.97,0.02
"Humboldt",1.11,0.02
"Imperial",0.84,0.04
"Kern",1.03,0.06
"Kings",1.47,0.2
"Los Angeles",1.14,0.04
"Madera",1.15,0.03
"Marin",1.09,0.04
"Mendocino",1.06,0.03
"Merced",0.86,0.02
"Monterey",1.02,0.06
"Napa",1.04,0.03
"Nevada",1.06,0.03
"Orange",1.06,0.04
"Placer",1.06,0.04
"Riverside",1.08,0.04
"Sacramento",1.01,0.05
"San Bernardino",1.1,0.05
"San Diego",1.02,0.07
"San Francisco",1.03,0.04
"San Joaquin",1.01,0.03
"San Luis Obispo",1.08,0.02
"San Mateo",1,0.04
"Santa Barbara",1.03,0.05
"Santa Clara",0.83,-0.02
"Santa Cruz",1.06,0.03
"Shasta",0.86,0.01
"Siskiyou",0.88,0.1
"Solano",1.01,0.03
"Sonoma",1.12,0.03
"Stanislaus",0.99,0.04
"Tulare",1.06,0.06
"Tuolumne",1.19,0.08
"Ventura",1.06,0.03
"Yolo",1.12,0.06
"Yuba",1.09,0
