"county","Rt","Rt_change"
"Alameda",0.76,0
"Amador",1,-0.01
"Butte",0.87,0.01
"Contra Costa",0.84,-0.01
"El Dorado",0.75,0
"Fresno",0.85,0
"Humboldt",0.79,-0.02
"Imperial",0.8,-0.01
"Kern",0.9,-0.01
"Kings",0.69,0.05
"Lake",0.93,0
"Los Angeles",0.87,0
"Marin",0.84,0
"Mendocino",1.09,-0.02
"Merced",0.91,0.01
"Monterey",0.85,-0.01
"Napa",0.76,0.02
"Nevada",0.69,0.01
"Orange",0.85,0
"Placer",0.81,0
"Riverside",0.87,0
"Sacramento",0.82,0
"San Bernardino",0.95,-0.01
"San Diego",0.88,0
"San Francisco",0.81,0.01
"San Joaquin",0.82,0
"San Luis Obispo",0.87,-0.03
"San Mateo",0.75,-0.01
"Santa Barbara",0.85,0.04
"Santa Clara",0.72,-0.02
"Santa Cruz",0.81,-0.04
"Shasta",0.96,-0.01
"Siskiyou",0.73,0
"Solano",0.76,0.02
"Sonoma",1,0
"Stanislaus",0.81,0.01
"Tehama",0.97,0.01
"Tulare",0.88,-0.01
"Tuolumne",0.99,0.02
"Ventura",0.86,0.01
"Yolo",0.9,0.01
"Yuba",0.89,0
