"county","Rt","Rt_change"
"Alameda",0.75,-0.01
"Amador",0.99,0
"Butte",0.85,0
"Contra Costa",0.88,0.03
"Del Norte",0.77,0.02
"El Dorado",0.71,-0.02
"Fresno",0.85,0
"Humboldt",0.79,0.04
"Imperial",0.89,0.13
"Kern",0.92,0.02
"Kings",0.96,0
"Los Angeles",0.88,0
"Madera",0.89,0.01
"Marin",0.85,0
"Mendocino",0.99,0
"Merced",0.88,-0.01
"Monterey",0.85,0.01
"Napa",0.76,0
"Nevada",0.72,0.01
"Orange",0.87,0.01
"Placer",0.84,0.01
"Riverside",0.85,-0.03
"Sacramento",0.84,0.01
"San Bernardino",0.91,-0.01
"San Diego",0.84,0.01
"San Francisco",0.82,0.01
"San Joaquin",0.84,0
"San Luis Obispo",0.94,0
"San Mateo",0.76,0
"Santa Barbara",0.76,0
"Santa Clara",0.72,-0.08
"Santa Cruz",0.81,-0.01
"Shasta",1.03,0.05
"Siskiyou",0.69,-0.03
"Solano",0.82,0.01
"Sonoma",1.04,0.01
"Stanislaus",0.95,0.06
"Tehama",0.93,-0.01
"Tulare",0.89,0
"Ventura",0.87,0
"Yolo",0.89,0
"Yuba",0.93,0.01
