"county","Rt","Rt_change"
"Alameda",0.75,0
"Amador",0.99,0
"Butte",0.86,0.01
"Contra Costa",0.91,0.03
"Del Norte",0.79,0.02
"El Dorado",0.71,0
"Fresno",0.86,0.01
"Humboldt",0.74,-0.05
"Imperial",0.88,-0.01
"Kern",0.92,0
"Kings",0.97,0.01
"Los Angeles",0.83,-0.05
"Madera",0.89,0
"Marin",0.88,0.03
"Mendocino",0.97,-0.02
"Merced",0.88,0
"Monterey",0.84,-0.01
"Napa",0.76,0
"Nevada",0.73,0.01
"Orange",0.84,-0.03
"Placer",0.85,0.01
"Riverside",0.75,-0.1
"Sacramento",0.83,-0.01
"San Bernardino",0.87,-0.04
"San Diego",0.81,-0.03
"San Francisco",0.82,0
"San Joaquin",0.84,0
"San Luis Obispo",0.91,-0.03
"San Mateo",0.75,-0.01
"Santa Barbara",0.77,0.01
"Santa Clara",0.75,0.03
"Santa Cruz",0.8,-0.01
"Shasta",1.04,0.01
"Siskiyou",0.72,0.03
"Solano",0.84,0.02
"Sonoma",1.04,0
"Stanislaus",0.9,-0.05
"Tehama",0.94,0.01
"Tulare",0.9,0.01
"Ventura",0.88,0.01
"Yolo",0.87,-0.02
"Yuba",0.93,0
