"county","Rt","Rt_change"
"Alameda",1.13,0.08
"Butte",0.96,0.01
"Contra Costa",1.06,0.01
"El Dorado",1.1,0.07
"Fresno",1,0.03
"Humboldt",1,-0.11
"Imperial",0.93,0.09
"Kern",1.03,0
"Kings",1.17,-0.3
"Los Angeles",1.21,0.07
"Madera",1.15,0
"Marin",1.37,0.28
"Mendocino",1.11,0.05
"Merced",0.82,-0.04
"Monterey",1.05,0.03
"Napa",1.01,-0.03
"Nevada",1.05,-0.01
"Orange",1.15,0.09
"Placer",1.09,0.03
"Riverside",1.11,0.03
"Sacramento",1.02,0.01
"San Bernardino",1.18,0.08
"San Diego",1.13,0.11
"San Francisco",1.1,0.07
"San Joaquin",1.02,0.01
"San Luis Obispo",1.16,0.08
"San Mateo",1.1,0.1
"Santa Barbara",1.1,0.07
"Santa Clara",0.91,0.08
"Santa Cruz",1.08,0.02
"Shasta",0.55,-0.31
"Siskiyou",0.9,0.02
"Solano",1.01,0
"Sonoma",1.1,-0.02
"Stanislaus",0.99,0
"Tulare",1.12,0.06
"Tuolumne",1.28,0.09
"Ventura",1.09,0.03
"Yolo",1.22,0.1
"Yuba",0.93,-0.16
