"county","Rt","Rt_change"
"Alameda",0.95,-0.01
"Butte",1.15,0.02
"Contra Costa",0.92,-0.01
"El Dorado",1.07,-0.03
"Fresno",0.91,0
"Humboldt",1.29,0
"Imperial",1.2,0.16
"Kern",0.74,0
"Kings",0.7,-0.08
"Los Angeles",0.97,0
"Madera",0.87,0
"Marin",0.79,0.02
"Merced",0.85,0
"Monterey",0.82,-0.01
"Napa",0,-0.83
"Nevada",1,0.02
"Orange",1.02,-0.01
"Placer",0.88,-0.03
"Riverside",0.95,-0.04
"Sacramento",0.96,0
"San Bernardino",1,0.01
"San Diego",0.98,-0.02
"San Francisco",0.86,-0.05
"San Joaquin",0.9,-0.02
"San Luis Obispo",1.03,0.06
"San Mateo",0.94,0.01
"Santa Barbara",0.86,0
"Santa Clara",0.88,-0.01
"Santa Cruz",0.93,0.04
"Shasta",1.07,-0.01
"Siskiyou",1.37,0.05
"Solano",0.99,-0.01
"Sonoma",0.78,0
"Stanislaus",1.03,-0.03
"Tehama",0.93,0.02
"Tulare",0.93,-0.01
"Ventura",0.81,0.01
"Yolo",1,0
"Yuba",0,0
