"county","Rt","Rt_change"
"Alameda",0.88,-0.01
"Butte",1.17,-0.01
"Contra Costa",0.92,0.04
"El Dorado",1.03,0
"Fresno",0.9,-0.01
"Humboldt",0.85,-0.04
"Imperial",1.11,0.01
"Kern",0.82,-0.08
"Kings",0.83,0
"Los Angeles",0.96,0.01
"Madera",0.85,0
"Marin",0.89,0.01
"Merced",0.86,0
"Monterey",0.82,0.01
"Napa",0.76,0.01
"Nevada",1.05,0.03
"Orange",0.92,-0.02
"Placer",0.84,-0.01
"Riverside",0.94,0
"Sacramento",0.91,-0.01
"San Bernardino",0.96,-0.02
"San Diego",0.91,-0.01
"San Francisco",0.82,-0.01
"San Joaquin",0.9,0
"San Luis Obispo",0.98,0.05
"San Mateo",0.92,-0.01
"Santa Barbara",0.84,0
"Santa Clara",0.84,-0.02
"Santa Cruz",0.87,-0.01
"Shasta",1.05,0.02
"Siskiyou",1.47,-0.13
"Solano",0.89,-0.01
"Sonoma",0.79,0
"Stanislaus",0.98,-0.04
"Tehama",0.92,-0.01
"Tulare",0.91,-0.01
"Ventura",0.78,-0.01
"Yolo",1.03,0
"Yuba",0.95,-0.01
