"county","Rt","Rt_change"
"Alameda",0.74,0.01
"Amador",0.91,-0.1
"Butte",0.9,0
"Contra Costa",0.86,0.01
"Del Norte",0.81,0.01
"El Dorado",0.69,0
"Fresno",0.87,0
"Humboldt",0.75,-0.01
"Imperial",0.83,0.01
"Kern",0.92,0
"Kings",0.98,0.01
"Los Angeles",0.85,0
"Madera",0.93,0.03
"Marin",0.82,-0.04
"Mendocino",0.94,0
"Merced",0.9,0.02
"Monterey",0.83,-0.01
"Napa",0.74,0.01
"Nevada",0.88,0
"Orange",0.81,-0.03
"Placer",0.87,0.01
"Riverside",0.79,-0.05
"Sacramento",0.83,0
"San Bernardino",0.85,-0.01
"San Diego",0.74,-0.01
"San Francisco",0.84,0.01
"San Joaquin",0.88,0.02
"San Luis Obispo",1.01,0.16
"San Mateo",0.79,0.01
"Santa Barbara",0.77,0
"Santa Clara",0.72,-0.01
"Santa Cruz",0.82,0.01
"Shasta",1.03,0.01
"Siskiyou",0.74,0.01
"Solano",0.85,-0.01
"Sonoma",1.1,0.02
"Stanislaus",0.9,0
"Tehama",0.9,0
"Tulare",0.89,0
"Tuolumne",1,0.04
"Ventura",0.87,0.02
"Yuba",0.94,0.01
