"county","Rt","Rt_change"
"Alameda",0.98,0.01
"Butte",1.11,0
"Contra Costa",0.97,-0.01
"El Dorado",1.11,0.04
"Fresno",1,0.01
"Humboldt",1.15,0.03
"Imperial",1.21,-0.01
"Kern",0.8,0.03
"Kings",0.86,0.02
"Los Angeles",0.96,-0.01
"Madera",0.89,-0.02
"Marin",0.8,0.02
"Merced",0.84,0.02
"Monterey",0.83,0.01
"Napa",0.85,-0.02
"Nevada",0.92,0.02
"Orange",1.04,0.01
"Placer",1.07,-0.02
"Riverside",0.98,0
"Sacramento",1.01,-0.01
"San Bernardino",0.96,0.02
"San Diego",1.04,-0.02
"San Francisco",0.94,-0.01
"San Joaquin",0.94,-0.01
"San Luis Obispo",0.95,0.02
"San Mateo",0.94,0
"Santa Barbara",0.78,0
"Santa Clara",0.99,0.02
"Santa Cruz",0.92,0.02
"Shasta",1.06,-0.01
"Siskiyou",1.28,0.05
"Solano",0.99,-0.01
"Sonoma",0.81,-0.01
"Stanislaus",1.09,0.03
"Tehama",0.89,0
"Tulare",0.96,0.01
"Tuolumne",0.96,0.01
"Ventura",0.82,0
"Yolo",0.99,0.01
"Yuba",0.95,0
