"county","Rt","Rt_change"
"Siskiyou",1.36,NA
"Butte",1.12,NA
"Calaveras",1.11,NA
"Imperial",1.1,NA
"Shasta",1.07,NA
"Nevada",1.03,NA
"El Dorado",1.01,NA
"Yolo",1.01,NA
"Los Angeles",0.96,NA
"Yuba",0.96,NA
"Riverside",0.92,NA
"San Bernardino",0.92,NA
"San Diego",0.92,NA
"San Joaquin",0.92,NA
"Tehama",0.91,NA
"Sacramento",0.91,NA
"San Mateo",0.9,NA
"Marin",0.9,NA
"Fresno",0.9,NA
"Tulare",0.89,NA
"Stanislaus",0.88,NA
"Orange",0.87,NA
"Contra Costa",0.87,NA
"Kings",0.87,NA
"Solano",0.87,NA
"Placer",0.85,NA
"Alameda",0.85,NA
"Humboldt",0.84,NA
"Merced",0.84,NA
"Kern",0.84,NA
"San Francisco",0.83,NA
"Monterey",0.83,NA
"Santa Cruz",0.83,NA
"Madera",0.82,NA
"Santa Barbara",0.82,NA
"Santa Clara",0.81,NA
"Sonoma",0.8,NA
"Ventura",0.8,NA
"Napa",0.76,NA
"San Luis Obispo",0.7,NA
