"county","Rt","Rt_change"
"Alameda",0.76,0
"Amador",1.01,0
"Butte",0.86,-0.02
"Contra Costa",0.85,0.02
"El Dorado",0.75,0
"Fresno",0.85,0
"Humboldt",0.81,-0.01
"Imperial",0.81,-0.09
"Kern",0.91,0.01
"Kings",0.64,-0.31
"Lake",0.93,0
"Los Angeles",0.87,-0.02
"Marin",0.84,0.02
"Mendocino",1.11,-0.01
"Merced",0.9,0
"Monterey",0.86,0.02
"Napa",0.74,0.01
"Nevada",0.68,0.01
"Orange",0.85,0.01
"Placer",0.81,-0.02
"Riverside",0.87,0.06
"Sacramento",0.82,0
"San Bernardino",0.96,0.06
"San Diego",0.88,-0.01
"San Francisco",0.8,-0.02
"San Joaquin",0.82,-0.02
"San Luis Obispo",0.9,-0.01
"San Mateo",0.76,0.01
"Santa Barbara",0.81,0.03
"Santa Clara",0.74,-0.02
"Santa Cruz",0.85,-0.01
"Shasta",0.97,0
"Siskiyou",0.73,0
"Solano",0.74,0
"Sonoma",1,0
"Stanislaus",0.8,0.02
"Tehama",0.96,0.01
"Tulare",0.89,-0.01
"Tuolumne",0.97,-0.01
"Ventura",0.85,0
"Yolo",0.89,0
"Yuba",0.89,0
