"county","Rt","Rt_change"
"Alameda",0.78,0.04
"Amador",1.05,0.14
"Butte",0.92,0.02
"Colusa",1.04,NA
"Contra Costa",0.88,0.02
"Del Norte",0.84,0.03
"El Dorado",0.7,0.01
"Fresno",0.87,0
"Humboldt",0.85,0.1
"Imperial",0.71,-0.12
"Kern",0.92,0
"Kings",1.02,0.04
"Los Angeles",0.86,0.01
"Madera",0.91,-0.02
"Marin",0.87,0.05
"Mendocino",0.99,0.05
"Merced",0.88,-0.02
"Monterey",0.87,0.04
"Napa",0.8,0.06
"Nevada",0.92,0.04
"Orange",0.86,0.05
"Placer",0.9,0.03
"Riverside",0.89,0.1
"Sacramento",0.83,0
"San Bernardino",0.85,0
"San Diego",0.76,0.02
"San Francisco",0.86,0.02
"San Joaquin",0.89,0.01
"San Luis Obispo",0.8,-0.21
"San Mateo",0.82,0.03
"Santa Barbara",0.85,0.08
"Santa Clara",0.78,0.06
"Santa Cruz",0.83,0.01
"Shasta",1.01,-0.02
"Siskiyou",0.71,-0.03
"Solano",0.9,0.05
"Sonoma",1.13,0.03
"Stanislaus",0.89,-0.01
"Tehama",0.89,-0.01
"Tulare",0.91,0.02
"Tuolumne",1.03,0.03
"Ventura",0.9,0.03
"Yuba",0.99,0.05
