"county","Rt","Rt_change"
"Alameda",1.22,0.03
"Amador",1.07,-0.02
"Butte",1.01,0.05
"Calaveras",1.16,NA
"Colusa",1,NA
"Contra Costa",1.08,0.01
"Del Norte",1.07,NA
"El Dorado",1.28,0.01
"Fresno",0.98,0.01
"Humboldt",0.86,-0.02
"Imperial",0.99,0.05
"Kern",0.97,0.01
"Kings",1.17,0
"Lake",1.38,-0.15
"Los Angeles",1.26,0.04
"Madera",1.1,0.06
"Marin",1.29,0.03
"Mendocino",1.05,0
"Merced",0.82,0.01
"Monterey",1.07,0
"Napa",1.14,0.02
"Nevada",0.99,0.08
"Orange",1.21,0.02
"Placer",1.01,0
"Riverside",1.18,0.04
"Sacramento",1.14,0.01
"San Bernardino",1.14,0
"San Diego",1.25,0.03
"San Francisco",1.31,0.03
"San Joaquin",1.03,0.01
"San Luis Obispo",1.15,0.05
"San Mateo",1.15,0.01
"Santa Barbara",1.12,0.01
"Santa Clara",0.83,-0.05
"Santa Cruz",1.1,0.01
"Shasta",0.55,0.02
"Siskiyou",0.89,0.03
"Solano",1.11,0
"Sonoma",0.95,0
"Stanislaus",0.88,-0.01
"Tulare",1.11,0
"Tuolumne",1.18,-0.03
"Ventura",1.17,0.03
"Yolo",1.17,-0.01
"Yuba",0.95,0.01
