"county","Rt","Rt_change"
"Alameda",0.86,0.02
"Butte",0.92,0
"Colusa",1.05,-0.01
"Contra Costa",0.87,0
"Fresno",0.91,0.02
"Humboldt",0.98,0.02
"Imperial",0.71,0.01
"Kern",0.91,-0.01
"Kings",1.12,0.5
"Los Angeles",0.96,0.02
"Madera",1.01,0.03
"Marin",0.9,0.02
"Mendocino",0.94,0.02
"Merced",0.9,0
"Monterey",0.9,0
"Napa",1.01,0
"Nevada",0.92,-0.02
"Orange",0.93,0
"Placer",0.91,-0.01
"Riverside",0.93,0
"Sacramento",0.83,0
"San Benito",0.94,0.02
"San Bernardino",0.95,0
"San Diego",0.77,0
"San Francisco",0.91,0
"San Joaquin",0.92,0
"San Luis Obispo",1.12,0.18
"San Mateo",0.82,0
"Santa Barbara",0.92,0
"Santa Clara",0.85,0.03
"Santa Cruz",0.93,-0.01
"Shasta",0.91,-0.01
"Siskiyou",0.76,0.06
"Solano",0.91,-0.01
"Sonoma",1.04,-0.01
"Stanislaus",0.89,0
"Tehama",0.86,-0.01
"Tulare",0.91,-0.01
"Ventura",0.96,0
"Yuba",1.02,0.01
