"county","Rt","Rt_change"
"Alameda",1.19,0.03
"Amador",1.09,-0.01
"Butte",0.96,0.01
"Contra Costa",1.07,0.03
"El Dorado",1.27,0.04
"Fresno",0.97,-0.01
"Humboldt",0.88,0.02
"Imperial",0.94,-0.03
"Kern",0.96,-0.01
"Kings",1.17,0.01
"Lake",1.53,-0.05
"Los Angeles",1.22,0.05
"Madera",1.04,-0.02
"Marin",1.26,0.04
"Mendocino",1.05,0.02
"Merced",0.81,-0.01
"Monterey",1.07,0.01
"Napa",1.12,0.02
"Nevada",0.91,-0.04
"Orange",1.19,0.02
"Placer",1.01,0
"Riverside",1.14,-0.02
"Sacramento",1.13,0.03
"San Bernardino",1.14,-0.02
"San Diego",1.22,0.07
"San Francisco",1.28,0.05
"San Joaquin",1.02,0.02
"San Luis Obispo",1.1,-0.09
"San Mateo",1.14,0.03
"Santa Barbara",1.11,0
"Santa Clara",0.88,0.04
"Santa Cruz",1.09,0.01
"Shasta",0.53,0.01
"Siskiyou",0.86,0.04
"Solano",1.11,0.03
"Sonoma",0.95,0.01
"Stanislaus",0.89,0.04
"Tulare",1.11,0.01
"Tuolumne",1.21,0.02
"Ventura",1.14,0.02
"Yolo",1.18,0
"Yuba",0.94,0.03
