"county","Rt","Rt_change"
"Alameda",0.92,-0.01
"Butte",1.19,0
"Contra Costa",0.91,0
"El Dorado",1.02,0
"Fresno",0.9,-0.01
"Humboldt",0.97,-0.17
"Imperial",1.1,-0.01
"Kern",0.78,0.03
"Kings",0.81,-0.09
"Los Angeles",0.95,0
"Madera",0.87,0
"Marin",0.85,0.04
"Merced",0.86,0
"Monterey",0.82,-0.01
"Napa",0.75,-0.01
"Nevada",1.01,0
"Orange",0.95,-0.02
"Placer",0.86,-0.01
"Riverside",0.97,-0.01
"Sacramento",0.93,0
"San Bernardino",0.98,-0.02
"San Diego",0.92,-0.01
"San Francisco",0.84,-0.01
"San Joaquin",0.91,-0.01
"San Luis Obispo",0.89,-0.08
"San Mateo",0.93,0.01
"Santa Barbara",0.86,-0.01
"Santa Clara",0.86,0.02
"Santa Cruz",0.9,0
"Shasta",1.03,-0.02
"Siskiyou",1.6,0.07
"Solano",0.95,0
"Sonoma",0.78,0
"Stanislaus",1.04,-0.01
"Tehama",0.94,0
"Tulare",0.93,-0.01
"Ventura",0.77,-0.02
"Yolo",1.02,0
"Yuba",0.98,-0.01
