"county","Rt","Rt_change"
"Alameda",0.84,-0.01
"Butte",1.11,-0.01
"Calaveras",1.12,0.01
"Contra Costa",0.88,0.01
"El Dorado",0.99,-0.02
"Fresno",0.9,0
"Humboldt",0.8,-0.04
"Imperial",1.04,-0.06
"Kern",0.85,0.01
"Kings",0.89,0.02
"Los Angeles",0.96,0
"Madera",0.85,0.03
"Marin",0.9,0
"Merced",0.82,-0.02
"Monterey",0.84,0.01
"Napa",0.75,-0.01
"Nevada",1,-0.03
"Orange",0.86,-0.01
"Placer",0.86,0.01
"Riverside",0.92,0
"Sacramento",0.91,0
"San Bernardino",0.91,-0.01
"San Diego",0.92,0
"San Francisco",0.83,0
"San Joaquin",0.92,0
"San Luis Obispo",0.89,0.19
"San Mateo",0.91,0.01
"Santa Barbara",0.81,-0.01
"Santa Clara",0.8,-0.01
"Santa Cruz",0.83,0
"Shasta",1.11,0.04
"Siskiyou",1.33,-0.03
"Solano",0.86,-0.01
"Sonoma",0.81,0.01
"Stanislaus",0.84,-0.04
"Tehama",0.91,0
"Tulare",0.9,0.01
"Ventura",0.82,0.02
"Yolo",0.98,-0.03
"Yuba",0.97,0.01
