"county","Rt","Rt_change"
"Alameda",0.97,NA
"Butte",1.11,NA
"Contra Costa",0.98,NA
"Del Norte",0.75,NA
"El Dorado",1.07,NA
"Fresno",0.99,NA
"Humboldt",1.12,NA
"Imperial",1.22,NA
"Kern",0.77,NA
"Kings",0.84,NA
"Lake",0.89,NA
"Los Angeles",0.97,-0.01
"Madera",0.91,NA
"Marin",0.78,NA
"Merced",0.82,NA
"Monterey",0.82,NA
"Napa",0.87,NA
"Nevada",0.9,NA
"Orange",1.03,-0.01
"Placer",1.09,NA
"Riverside",0.98,NA
"Sacramento",1.02,NA
"San Benito",1,NA
"San Bernardino",0.94,NA
"San Diego",1.06,-0.01
"San Francisco",0.95,NA
"San Joaquin",0.95,NA
"San Luis Obispo",0.93,NA
"San Mateo",0.94,NA
"Santa Barbara",0.78,NA
"Santa Clara",0.97,NA
"Santa Cruz",0.9,NA
"Shasta",1.07,NA
"Siskiyou",1.23,NA
"Solano",1,NA
"Sonoma",0.82,NA
"Stanislaus",1.06,NA
"Tehama",0.89,NA
"Tulare",0.95,NA
"Tuolumne",0.95,NA
"Ventura",0.82,NA
"Yolo",0.98,NA
"Yuba",0.95,NA
