"county","Rt","Rt_change"
"Alameda",1,0.02
"Butte",1.13,0.02
"Contra Costa",0.95,-0.02
"El Dorado",1.1,-0.01
"Fresno",1.02,0.02
"Humboldt",1.22,0.07
"Imperial",1.21,0
"Kern",0.78,-0.02
"Kings",0.88,0.02
"Los Angeles",0.96,0
"Madera",0.88,-0.01
"Marin",0.82,0.02
"Merced",0.84,0
"Monterey",0.83,0
"Napa",0.84,-0.01
"Nevada",0.94,0.02
"Orange",1.04,0
"Placer",1.05,-0.02
"Riverside",0.98,0
"Sacramento",1.01,0
"San Bernardino",0.96,0
"San Diego",1.02,-0.02
"San Francisco",0.93,-0.01
"San Joaquin",0.92,-0.02
"San Luis Obispo",0.96,0.01
"San Mateo",0.93,-0.01
"Santa Barbara",0.79,0.01
"Santa Clara",0.99,0
"Santa Cruz",0.9,-0.02
"Shasta",1.05,-0.01
"Siskiyou",1.32,0.04
"Solano",0.98,-0.01
"Sonoma",0.8,-0.01
"Stanislaus",1.1,0.01
"Tehama",0.89,0
"Tulare",0.96,0
"Ventura",0.82,0
"Yolo",0.99,0
"Yuba",0.96,0.01
