"county","Rt","Rt_change"
"Alameda",0.81,0.04
"Butte",0.94,-0.01
"Colusa",1.08,0.01
"Contra Costa",0.9,0
"Del Norte",0.85,0.01
"El Dorado",0.72,0
"Fresno",0.91,0
"Humboldt",0.91,0.01
"Imperial",0.73,0.01
"Kern",0.94,0
"Kings",1.1,0.01
"Los Angeles",0.89,0.02
"Madera",0.94,0
"Marin",0.89,NA
"Mendocino",1,-0.01
"Merced",0.92,0.01
"Monterey",0.9,0
"Napa",0.92,0.03
"Nevada",0.97,-0.01
"Orange",0.9,0.01
"Placer",0.94,0.02
"Riverside",0.94,-0.01
"Sacramento",0.85,0
"San Benito",0.85,NA
"San Bernardino",0.93,0
"San Diego",0.9,0.03
"San Francisco",0.89,0.01
"San Joaquin",0.93,0.01
"San Luis Obispo",0.9,-0.23
"San Mateo",0.82,0.02
"Santa Barbara",0.85,0.01
"Santa Clara",0.8,-0.01
"Santa Cruz",0.88,0.02
"Shasta",1.04,-0.01
"Siskiyou",0.72,0.03
"Solano",0.92,-0.01
"Sonoma",1.12,0
"Stanislaus",0.91,-0.03
"Tehama",0.91,0.01
"Tulare",0.94,0
"Ventura",0.96,0.02
"Yuba",1.02,-0.02
