"county","Rt","Rt_change"
"Alameda",0.77,-0.01
"Amador",1.01,0
"Butte",0.93,0
"Contra Costa",0.85,0
"El Dorado",0.75,0
"Fresno",0.87,-0.01
"Humboldt",0.98,-0.01
"Imperial",0.92,-0.01
"Kern",0.89,0.01
"Kings",0.96,0
"Lake",0.93,0
"Los Angeles",0.93,-0.01
"Madera",0.89,0.08
"Marin",0.83,0
"Mendocino",1.25,-0.02
"Merced",0.88,0.01
"Monterey",0.84,0
"Napa",0.74,-0.01
"Nevada",0.71,0.02
"Orange",0.82,-0.01
"Placer",0.83,0.01
"Riverside",0.82,-0.08
"Sacramento",0.83,-0.01
"San Bernardino",0.96,-0.01
"San Diego",0.91,0
"San Francisco",0.81,0.01
"San Joaquin",0.85,0
"San Luis Obispo",0.98,-0.07
"San Mateo",0.78,-0.01
"Santa Barbara",0.75,0
"Santa Clara",0.72,-0.02
"Santa Cruz",0.82,0
"Shasta",1.07,0.06
"Siskiyou",0.75,0.01
"Solano",0.75,-0.01
"Sonoma",0.97,0.02
"Stanislaus",0.72,-0.01
"Tehama",0.94,-0.01
"Tulare",0.92,0
"Tuolumne",0.93,-0.02
"Ventura",0.89,0.05
"Yolo",0.86,0.01
"Yuba",0.91,-0.02
