"county","Rt","Rt_change"
"Alameda",0.93,-0.01
"Butte",1.17,0
"Contra Costa",0.91,-0.02
"El Dorado",1.01,-0.01
"Fresno",0.92,0
"Humboldt",1.22,-0.05
"Imperial",1.13,-0.02
"Kern",0.77,0
"Kings",0.89,0.17
"Los Angeles",0.95,-0.01
"Madera",0.88,0.01
"Marin",0.84,0
"Merced",0.87,-0.01
"Monterey",0.82,-0.01
"Napa",0.75,-0.01
"Nevada",1,0
"Orange",0.99,-0.01
"Placer",0.88,0
"Riverside",0.98,-0.01
"Sacramento",0.93,-0.02
"San Bernardino",1.01,0
"San Diego",0.94,-0.01
"San Francisco",0.85,0.01
"San Joaquin",0.9,0
"San Luis Obispo",0.96,-0.04
"San Mateo",0.92,-0.01
"Santa Barbara",0.93,0
"Santa Clara",0.87,-0.02
"Santa Cruz",0.88,-0.05
"Shasta",1.06,-0.01
"Siskiyou",1.53,0.06
"Solano",0.96,-0.02
"Sonoma",0.77,0
"Stanislaus",1.08,0
"Tehama",0.93,-0.01
"Tulare",0.94,0
"Ventura",0.78,0.01
"Yolo",1.02,0.01
"Yuba",1.01,-0.01
