"county","Rt","Rt_change"
"Alameda",0.95,0
"Butte",1.16,0.01
"Contra Costa",0.91,-0.01
"El Dorado",1.05,-0.02
"Fresno",0.91,0
"Humboldt",1.2,-0.09
"Imperial",1.18,-0.02
"Kern",0.74,0
"Kings",0.89,0.19
"Los Angeles",0.96,-0.01
"Madera",0.87,0
"Marin",0.79,0
"Merced",0.85,0
"Monterey",0.82,0
"Napa",0.77,0.77
"Nevada",1.01,0.01
"Orange",1.01,-0.01
"Placer",0.89,0.01
"Riverside",0.98,0.03
"Sacramento",0.95,-0.01
"San Bernardino",1,0
"San Diego",0.96,-0.02
"San Francisco",0.87,0.01
"San Joaquin",0.9,0
"San Luis Obispo",1.04,0.01
"San Mateo",0.93,-0.01
"Santa Barbara",0.86,0
"Santa Clara",0.86,-0.02
"Santa Cruz",0.9,-0.03
"Shasta",1.07,0
"Siskiyou",1.39,0.02
"Solano",0.99,0
"Sonoma",0.78,0
"Stanislaus",1.08,0.05
"Tehama",0.93,0
"Tulare",0.95,0.02
"Ventura",0.76,-0.05
"Yolo",1.01,0.01
"Yuba",1.02,1.02
