"county","Rt","Rt_change"
"Alameda",0.8,-0.01
"Amador",0.98,-0.04
"Butte",0.96,-0.02
"Contra Costa",0.9,-0.02
"El Dorado",0.78,-0.03
"Fresno",0.88,0
"Humboldt",1.03,0.01
"Imperial",0.96,0.01
"Kern",0.88,0
"Kings",0.95,0
"Lake",0.92,0.01
"Los Angeles",0.95,0.01
"Madera",0.81,0
"Marin",0.85,0.01
"Mendocino",1.22,0
"Merced",0.83,0.02
"Monterey",0.84,0
"Napa",0.75,0
"Nevada",0.73,0.01
"Orange",0.82,-0.01
"Placer",0.83,0
"Riverside",0.92,0.01
"Sacramento",0.86,0
"San Bernardino",0.96,0
"San Diego",0.94,0
"San Francisco",0.8,0
"San Joaquin",0.86,-0.01
"San Luis Obispo",0.91,0.02
"San Mateo",0.82,-0.02
"Santa Barbara",0.8,0
"Santa Clara",0.74,0.01
"Santa Cruz",0.79,-0.01
"Shasta",1.06,0
"Siskiyou",0.75,-0.01
"Solano",0.8,-0.01
"Sonoma",0.85,0
"Stanislaus",0.73,-0.02
"Tehama",0.95,-0.01
"Tulare",0.93,0.02
"Tuolumne",0.9,0.01
"Ventura",0.82,0
"Yolo",0.83,-0.01
"Yuba",1,-0.01
