"county","Rt","Rt_change"
"Alameda",0.91,0.05
"Butte",0.91,-0.01
"Colusa",1.04,-0.01
"Contra Costa",0.87,0
"Fresno",0.89,-0.02
"Humboldt",1,0.02
"Imperial",0.71,0
"Kern",0.92,0.01
"Kings",0.61,-0.51
"Los Angeles",0.96,0
"Madera",1.02,0.01
"Marin",0.91,0.01
"Mendocino",0.95,0.01
"Merced",0.89,-0.01
"Monterey",0.9,0
"Napa",1.01,0
"Nevada",0.94,0.02
"Orange",0.94,0.01
"Placer",0.91,0
"Riverside",0.93,0
"Sacramento",0.84,0.01
"San Benito",0.94,0
"San Bernardino",0.96,0.01
"San Diego",0.77,0
"San Francisco",0.91,0
"San Joaquin",0.92,0
"San Luis Obispo",0.9,-0.22
"San Mateo",0.84,0.02
"Santa Barbara",0.93,0.01
"Santa Clara",0.82,-0.03
"Santa Cruz",0.95,0.02
"Shasta",0.92,0.01
"Siskiyou",0.77,0.01
"Solano",0.9,-0.01
"Sonoma",1.02,-0.02
"Stanislaus",0.89,0
"Tehama",0.86,0
"Tulare",0.91,0
"Ventura",0.97,0.01
"Yuba",1.05,0.03
