"county","Rt","Rt_change"
"Alameda",0.97,0.03
"Butte",0.92,0
"Contra Costa",0.97,0.01
"El Dorado",0.92,0.02
"Fresno",0.92,0
"Humboldt",1.06,-0.01
"Imperial",0.78,0.02
"Kern",0.95,-0.02
"Kings",0.66,0.03
"Los Angeles",1.04,0.06
"Madera",1.09,0.01
"Marin",0.95,-0.02
"Mendocino",1.01,0.01
"Merced",0.84,0
"Monterey",0.95,0.01
"Napa",1,0.01
"Nevada",1.01,0.01
"Orange",0.96,0.02
"Placer",0.99,0.02
"Riverside",0.97,-0.02
"Sacramento",0.92,0
"San Bernardino",1.01,0.01
"San Diego",0.89,0.04
"San Francisco",0.94,0.02
"San Joaquin",0.96,0.01
"San Luis Obispo",1.31,0.34
"San Mateo",0.92,0.01
"Santa Barbara",1,0.02
"Santa Clara",0.83,-0.03
"Santa Cruz",1,0.01
"Shasta",0.78,-0.08
"Siskiyou",0.75,0.01
"Solano",0.95,0.01
"Sonoma",1.06,0.01
"Stanislaus",0.93,0.02
"Tulare",0.94,0.02
"Tuolumne",1.05,0.03
"Ventura",1.01,0.02
"Yolo",1.01,0.04
"Yuba",1.09,0
